Review ID;Submission Date;Initial Publish Date;Product ID;Product Name;Review Title;Review Text;Product Page URL;Review Authorization Source;Moderation Status;Content Codes;User ID;BV_FE_EXPAND;BV_FE_FAMILY;EAN;Category;Category ID;Top Level Category;Top Level Category ID;"Category
Hierarchy";Product Brand;Featured Badge;Staff Badge;Expert Badge;Merit Rank;Is a Ratings-Only Review;User Nickname;User Location;Shared Review with Facebook;Review Published Email;Review Commented Email;Overall Rating;Recommend to a Friend;Pros;Cons;Client Comments;Photo 1;Photo 2;Video 1;# of Comments;"# of Comments
Approved";"# of Comments
Rejected";"# of Comments
in Moderation";"# of Comments 
with Photo";"# of Comments 
with Video";"# of Helpful
Votes";"# of Not Helpful
Votes";"# of Inappropriate
Votes";Client Response 1;Response Department 1;Response Name 1;Response Type 1;Âge;Department;Utilise des produits Mugler depuis;Sexe;A reçu un produit gratuit;Verified Purchaser;Net Promoter Score;Net Promoter Comment;Campaign ID;Locale;Originating Domain;Display Code;Session Parameters
209564452;5/27/2019;5/27/2019;M020403042;A*Men Deodorant Spray;au top!;Déodorant qui en plus d'être efficace, a une odeur qui dure longtemps. Mais pourquoi il n'y a jamaisde code fidélité avec ce produit?c'est le seul bémol.;https://www.mugler.fr/parfums/homme/a-men/bain-corps/a-men-deodorant-spray-M020403042.html;OTHER;APPROVED;;TMGFR014852041;BV_FE_FAMILY:M020403042;M020403042;;Bain & Corps;amen-bath-body;Parfums;fragrance;Parfums > Homme > A*Men > Bain & Corps;MUGLER;;;;Top 25;;AnneS;;0;Yes;Yes;5;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;46-55;;11-25 ans;Féminin;;Oui;;;BV_PIE;fr_FR;c6.ugc.bazaarvoice.com;20039-fr_fr;
202652980;9/2/2018;9/2/2018;M020403042;A*Men Deodorant Spray;Pour être toujours frais le matin !;Merci pour ce produit, vraiment simple d'utilisation pour être toujours frais le matin !;https://www.mugler.fr/parfums/homme/a-men/bain-corps/a-men-deodorant-spray-M020403042.html;HOSTED_AUTHENTICATION_EMAIL;APPROVED;;syznx48ks0hr65ftrqp2pqncz;BV_FE_FAMILY:M020403042;M020403042;;Bain & Corps;amen-bath-body;Parfums;fragrance;Parfums > Homme > A*Men > Bain & Corps;MUGLER;;;;Top 100;;OlivierLoiret;Saint-Père-sur-Loire, France;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;0;0;0;;;;;46-55;Loiret;11-25 ans;Masculin;;;;;BV_RATING_SUMMARY;fr_FR;c6.ugc.bazaarvoice.com;6275-fr_fr;
150249998;7/22/2016;7/25/2016;M020403042;A*Men Deodorant Spray;recherche du produit;"On ne trouve plus le "" DEODORANT EN STICK A MEN "" grand modèle ! Est ce normal ? comme j étais satisfait du produit le préférant en vaporisateur j ai du mal à en trouver !! Pouvez vous me renseigner .Merci";https://www.mugler.fr/parfums/homme/a-men/bain-corps/a-men-deodorant-spray-M020403042.html;HOSTED_AUTHENTICATION_EMAIL;REJECTED;PUX;qf8qm59lycn1v7262at05nyzc;BV_FE_FAMILY:M020403042;M020403042;;Bain & Corps;amen-bath-body;Parfums;fragrance;Parfums > Homme > A*Men > Bain & Corps;MUGLER;;;;;;BERNARD;SORGUES;0;Yes;No;4;Yes;;;;;;;0;0;0;0;0;0;0;0;0;;;;;46-55;;4-10 ans;Masculin;;;;;BV_RATING_SUMMARY;fr_FR;c6.ugc.bazaarvoice.com;6275-fr_fr;
140484773;3/9/2016;3/12/2016;M020403042;A*Men Deodorant Spray;Déodorant efficace et très frais;"Si comme moi vous en avez assez des déodorants ""classiques"" je vous conseille de tester Amen de Mugler : frais, efficace, sans trace, diffuseur de qualité. Fidèle depuis sa sortie";https://www.mugler.fr/parfums/homme/a-men/bain-corps/a-men-deodorant-spray-M020403042.html;HOSTED_AUTHENTICATION_EMAIL;APPROVED;;two4c1hgcq9bk71omlff47npy;BV_FE_FAMILY:M020403042;M020403042;;Bain & Corps;amen-bath-body;Parfums;fragrance;Parfums > Homme > A*Men > Bain & Corps;MUGLER;;;;;;Christophe;Lille;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;9;1;0;;;;;36-45;;4-10 ans;Masculin;;;;;BV_RATING_SUMMARY_ZERO_REVIEWS;fr_FR;c6.ugc.bazaarvoice.com;6275-fr_fr;
207495905;3/8/2019;3/8/2019;371;A*Men Deodorant Stick;pratique frais et absolument incontournable;Ce stick est un incontournable ! Facile d'emploi et agréable (format tout en rondeur agréable sur la peau, taille du stick le rendant très pratique), il est d'une texture très sensuelle et dégage inlassablement le divin parfum A Men tout au long de la journée. Ouverture et fermeture facile, il donne l'impression d'être inusable !! je n’arrive pas à lui trouver de défaut !!!!;https://www.mugler.fr/parfums/homme/a-men/bain-corps/a-men-deodorant-stick-000371.html;HOSTED_AUTHENTICATION_EMAIL;APPROVED;UNK;t7lky9l1s1jym6g734eew7x5n;BV_FE_FAMILY:000371;371;3439600003710;Bain & Corps;amen-bath-body;Parfums;fragrance;Parfums > Homme > A*Men > Bain & Corps;MUGLER;;;;;;JeanLouis;Rouen;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;0;1;0;;;;;56-65;SeineMaritime;11-25 ans;Masculin;;;;;BV_RATING_SUMMARY_ZERO_REVIEWS;fr_FR;c6.ugc.bazaarvoice.com;6275-fr_fr;
159158493;11/15/2016;11/18/2016;M020103018;A*Men Eau de Toilette Coffret Sensualité;Cadeau de l'an passé.;Toujours le même cadeau de Noel, seul l'emballage change, mais si vous êtes amateur de bonne qualité ? Je vous le conseil les yeux fermer. Sinon je change de prénom . L'odeur du vrai mâle .;http://www.mugler.fr/a-men-eau-de-toilette-coffret-sensualite/M020103018.html;HOSTED_AUTHENTICATION_EMAIL;APPROVED;;7anqhluka2yzyg2b6jxywobli;BV_FE_FAMILY:M020103018;M020103018;;Coffrets;M4113;Parfum;4000;Parfum > Parfum homme > Parfum A*Men > Coffrets;;;;;Top 50;;Classe89;Haut-Rhin, France;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;0;0;0;;;;;36-45;;11-25 ans;Masculin;;;;;BV_PRR_REVIEW_THANKYOU;fr_FR;c6.ugc.bazaarvoice.com;6275-fr_fr;
214427030;11/14/2019;11/15/2019;M020003080;A*Men Eau de Toilette Flacon Recharge;;;https://www.mugler.fr/parfums/homme/a-men/parfums/a-men-eau-de-toilette-flacon-recharge-M020003080.html;OTHER;APPROVED;;TMGFR015255972;BV_FE_FAMILY:M020003080;M020003080;;Parfums;amen-perfumes;Parfums;fragrance;Parfums > Homme > A*Men > Parfums;MUGLER;;;;;Yes;Bichettes;;0;Yes;Yes;5;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;56-65;;11-25 ans;Féminin;;Oui;;;BV_PIE;fr_FR;c6.ugc.bazaarvoice.com;20039-fr_fr;
213630042;10/18/2019;10/18/2019;M020003080;A*Men Eau de Toilette Flacon Recharge;Parfait;Habitué de la marque depuis 15 ans . La livraison internet est un plus et rapide !;https://www.mugler.fr/parfums/homme/a-men/parfums/a-men-eau-de-toilette-flacon-recharge-M020003080.html;OTHER;APPROVED;;TMGFR015160973;BV_FE_FAMILY:M020003080;M020003080;;Parfums;amen-perfumes;Parfums;fragrance;Parfums > Homme > A*Men > Parfums;MUGLER;;;;;;Régis L;;0;Yes;Yes;5;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;36-45;;11-25 ans;Masculin;;Oui;;;BV_PIE;fr_FR;c6.ugc.bazaarvoice.com;20039-fr_fr;
213209736;10/2/2019;10/2/2019;M020003080;A*Men Eau de Toilette Flacon Recharge;;;https://www.mugler.fr/parfums/homme/a-men/parfums/a-men-eau-de-toilette-flacon-recharge-M020003080.html;OTHER;APPROVED;;TMGFRCRM285068;BV_FE_FAMILY:M020003080;M020003080;;Parfums;amen-perfumes;Parfums;fragrance;Parfums > Homme > A*Men > Parfums;MUGLER;;;;;Yes;catou81;;0;Yes;Yes;5;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;66 ou plus;;Plus de 25 ans;Masculin;;Oui;;;BV_PIE;fr_FR;c6.ugc.bazaarvoice.com;20039-fr_fr;
212924863;9/21/2019;9/21/2019;M020003080;A*Men Eau de Toilette Flacon Recharge;Très satisfait du rendu odorant;Je suis très content pour le A-men contrairement à Alien men;https://www.mugler.fr/parfums/homme/a-men/parfums/a-men-eau-de-toilette-flacon-recharge-M020003080.html;OTHER;APPROVED;;TMGFR013832506;BV_FE_FAMILY:M020003080;M020003080;;Parfums;amen-perfumes;Parfums;fragrance;Parfums > Homme > A*Men > Parfums;MUGLER;;;;;;James;;0;Yes;Yes;5;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;36-45;;4-10 ans;Masculin;;Oui;;;BV_PIE;fr_FR;c6.ugc.bazaarvoice.com;20039-fr_fr;
