Bazaarvoice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
All Reviews Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Review ID;Submission Date;Initial Publish Date;Product ID;Product Name;Review Title;Review Text;Product Page URL;Review Authorization Source;Moderation Status;Content Codes;User ID;BV_FE_EXPAND;BV_FE_FAMILY;EAN;Category;Category ID;Top Level Category;Top Level Category ID;"Category
Hierarchy";Product Brand;Featured Badge;Staff Badge;Expert Badge;Merit Rank;Is a Ratings-Only Review;User Nickname;User Location;Shared Review with Facebook;Review Published Email;Review Commented Email;Overall Rating;Recommend to a Friend;Pros;Cons;Client Comments;Photo 1;Photo 2;Video 1;# of Comments;"# of Comments
Approved";"# of Comments
Rejected";"# of Comments
in Moderation";"# of Comments 
with Photo";"# of Comments 
with Video";"# of Helpful
Votes";"# of Not Helpful
Votes";"# of Inappropriate
Votes";Client Response 1;Response Department 1;Response Name 1;Response Type 1;Age;Using Mugler for;Gender;Received an incentive for this review;Verified Purchaser;Net Promoter Score;Net Promoter Comment;Campaign ID;Locale;Originating Domain;Display Code;Session Parameters
195032569;1/4/2018;1/6/2018;M020604070;24- carat Alien Talisman Jewel;;I would have given it five star if it wasn’t for the fact I was asked if it was a gift YES but my message wasn’t sent with the item DISAPOINTED.;https://www.mugler.co.uk/24--carat-alien-talisman-jewel/M020604070.html;SITE;APPROVED;;bco5G3K2vxPKdIOzHai221mWQN;BV_FE_FAMILY:M020604070;M020604070;;Fragrances;W4121;Perfume;4000;Perfume > Women's Perfume > Alien Perfume > Fragrances;MUGLER;;;;;;FLOGGER;PETERBOROUGH;0;Yes;Yes;4;Yes;;;;;;;0;0;0;0;0;0;8;2;0;;;;;66 or over;11-25 years;Male;;;;;BV_PIE;en_GB;c6.ugc.bazaarvoice.com;6275-en_gb;
197471398;2/21/2018;2/21/2018;M020604012;A*Men Addict Gift Set;Highly recommended;This sweet strong scent is a must in my EDPs collection. I got complimented wearing this so many times. In my opinion its more of a wintery scent. I love it.;https://www.mugler.co.uk/a-men-addict-gift-set/M020604012.html;SITE;APPROVED;;TMGUK003576355;BV_FE_FAMILY:M020604012;M020604012;;Sets;M4113;Perfume;4000;Perfume > Men's Perfume > A*MEN Perfume > Sets;;;;;;;Saleem;Manchester, UK;0;Yes;Yes;5;Yes;;;;;;;0;0;0;0;0;0;0;0;0;;;;;36-45;1-3 years;Male;;;;;BV_PIE;en_GB;c6.ugc.bazaarvoice.com;6275-en_gb;
197401290;2/18/2018;2/18/2018;M020604012;A*Men Addict Gift Set;Great value for money;What a lovely gift to receive. My husband loved it, and smells rather good. Recommended.;https://www.mugler.co.uk/a-men-addict-gift-set/M020604012.html;SITE;APPROVED;;TMGUK004254864;BV_FE_FAMILY:M020604012;M020604012;;Sets;M4113;Perfume;4000;Perfume > Men's Perfume > A*MEN Perfume > Sets;;;;;;;Moragm70;Aberdeenshire, UK;0;Yes;Yes;5;Yes;;;;;;;0;0;0;0;0;0;0;0;0;;;;;46-55;4-10 years;Female;;;;;BV_PIE;en_GB;c6.ugc.bazaarvoice.com;6275-en_gb;
196541499;2/5/2018;2/5/2018;M020604012;A*Men Addict Gift Set;Magical;Truly amazing stuff very clever man this men’s fragrance is lovely!;https://www.mugler.co.uk/a-men-addict-gift-set/M020604012.html;SITE;APPROVED;;TMGUK004579908;BV_FE_FAMILY:M020604012;M020604012;;Sets;M4113;Perfume;4000;Perfume > Men's Perfume > A*MEN Perfume > Sets;;;;;;;Ju1es;Uk;0;Yes;Yes;5;Yes;;;;;;;0;0;0;0;0;0;0;0;0;;;;;46-55;Less than 1 year;;;;;;BV_PIE;en_GB;c6.ugc.bazaarvoice.com;6275-en_gb;
194973475;1/4/2018;1/6/2018;M020604013;A*Men Addict Gift Set;Loved it;Bought as a gift and the recipient was over the moon with it. Loved it - would recommend;https://www.mugler.co.uk/a-men-addict-gift-set/M020604013.html;SITE;APPROVED;;TMGUK004543869;BV_FE_FAMILY:M020604013;M020604013;;Sets;M4113;Perfume;4000;Perfume > Men's Perfume > A*MEN Perfume > Sets;MUGLER;;;;;;Darkbaymel;Manchester, UK;0;No;No;5;Yes;;;;;;;0;0;0;0;0;0;0;0;0;;;;;56-65;4-10 years;Female;;;;;BV_PIE;en_GB;c6.ugc.bazaarvoice.com;6275-en_gb;
194607162;12/24/2017;12/26/2017;M020604013;A*Men Addict Gift Set;For th at special young man;Bought for my son who loves wearing Amen going out and on special occasions. Fabulous gift set.;https://www.mugler.co.uk/a-men-addict-gift-set/M020604013.html;SITE;APPROVED;;TMGUK004526439;BV_FE_FAMILY:M020604013;M020604013;;Sets;M4113;Perfume;4000;Perfume > Men's Perfume > A*MEN Perfume > Sets;MUGLER;;;;Top 250;;Krish;Birmingham;0;Yes;Yes;5;Yes;;;;;;;0;0;0;0;0;0;0;0;0;;;;;56-65;More than 25 years;Female;;;;;BV_PIE;en_GB;c6.ugc.bazaarvoice.com;6275-en_gb;
194223857;12/15/2017;12/17/2017;M020604013;A*Men Addict Gift Set;Perfection In A Bottle;I've been a big fan of A*MEN for some years now introduced to it by my partner its got the fragrance that you never get tired of smelling like others you use now and again I can wear this 24/7 and always will do. Hair and body wash deodorant stick what a combination just perfect.;https://www.mugler.co.uk/a-men-addict-gift-set/M020604013.html;SITE;APPROVED;;TMGUK004522893;BV_FE_FAMILY:M020604013;M020604013;;Sets;M4113;Perfume;4000;Perfume > Men's Perfume > A*MEN Perfume > Sets;MUGLER;;;;;;Ade06;Nottingham, UK;0;Yes;Yes;5;Yes;;;;;;;0;0;0;0;0;0;1;0;0;;;;;56-65;11-25 years;Male;;;;;BV_PIE;en_GB;c6.ugc.bazaarvoice.com;6275-en_gb;
194212845;12/15/2017;12/16/2017;M020604013;A*Men Addict Gift Set;excellent;I am so happy with this product. the scent is very strong and last all day long.;https://www.mugler.co.uk/a-men-addict-gift-set/M020604013.html;SITE;APPROVED;;TMGUK00098258;BV_FE_FAMILY:M020604013;M020604013;;Sets;M4113;Perfume;4000;Perfume > Men's Perfume > A*MEN Perfume > Sets;MUGLER;;;;Top 50;;Scent;London, UK;0;Yes;Yes;4;Yes;;;;;;;0;0;0;0;0;0;0;0;0;;;;;46-55;4-10 years;Female;;;;;BV_PIE;en_GB;c6.ugc.bazaarvoice.com;6275-en_gb;
184339865;8/6/2017;8/7/2017;M020403058;A*Men Box Of Stars Deluxe Gift Set;BRILLIANT;This was bought as a gift but my husband already uses it and the smell is gorgeous.;https://www.mugler.co.uk/a-men-box-of-stars-deluxe-gift-set/M020403058.html;SITE;APPROVED;;TMGUK003536857;BV_FE_FAMILY:M020403058;M020403058;;Sets;M4113;Perfume;4000;Perfume > Men's Perfume > A*MEN Perfume > Sets;MUGLER;;;;Top 100;;Lizbe;BRECHIN;0;Yes;Yes;5;Yes;;;;;;;0;0;0;0;0;0;0;0;0;;;;;66 or over;1-3 years;Female;;;;;BV_PIE;en_GB;c6.ugc.bazaarvoice.com;6275-en_gb;
184378578;8/7/2017;8/8/2017;M020403057;A*Men Box of Stars Gift Set;Excellent gift;"What a fab gift. Purchased this after having a small sample bottle. There are so many perfumes I could buy from yourself but my kindness had kicked in and I chose to treat my partner not myself. 

If I was able to if buy one of everything it's all so lush";https://www.mugler.co.uk/a-men-box-of-stars-gift-set/M020403057.html;SITE;APPROVED;ABC;bcH05ZnOgsVdcWFM4sa7SpwMEF;BV_FE_FAMILY:M020403057;M020403057;;Sets;M4113;Perfume;4000;Perfume > Men's Perfume > A*MEN Perfume > Sets;MUGLER;;;;;;Amylou992;Derbyshire England;0;Yes;Yes;5;Yes;;;08/08/2017 04:38 (thierrymugler-en_gb) Approved by client;;;;0;0;0;0;0;0;0;0;0;;;;;19-25;4-10 years;Female;;;;;BV_PIE;en_GB;c6.ugc.bazaarvoice.com;6275-en_gb;
