Bazaarvoice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
All Reviews Report;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Review ID;Submission Date;Initial Publish Date;Product ID;Product Name;Review Title;Review Text;Product Page URL;Review Authorization Source;Moderation Status;Content Codes;User ID;BV_FE_EXPAND;BV_FE_FAMILY;EAN;Category;Category ID;Top Level Category;Top Level Category ID;"Category
Hierarchy";Product Brand;Featured Badge;Staff Badge;Expert Badge;Merit Rank;Is a Ratings-Only Review;User Nickname;User Location;Shared Review with Facebook;Review Published Email;Review Commented Email;Overall Rating;Recommend to a Friend;Pros;Cons;Client Comments;Photo 1;Photo 2;Video 1;# of Comments;"# of Comments
Approved";"# of Comments
Rejected";"# of Comments
in Moderation";"# of Comments 
with Photo";"# of Comments 
with Video";"# of Helpful
Votes";"# of Not Helpful
Votes";"# of Inappropriate
Votes";Client Response 1;Response Department 1;Response Name 1;Response Type 1;Age;Using Thierry Mugler for;Gender;Received free product;Verified Purchaser;Net Promoter Score;Net Promoter Comment;Campaign ID;Locale;Originating Domain;Display Code;Session Parameters
106202495;12/16/2014;12/17/2014;M020103018;A*Men Book of Mysteries Gift Set;TO NOTCH Cologne from the of the best perfumers;For this one I got it at 77. I was invited to a private sale. Glad I took the offer. I am a big fan of Theirry Mugler's work in keeping the perfumery community alive with different styles and scents . I already have A*Men , and I enjoy it enough to refresh the supplies . This ones a beast of an angel . Projection and longevity makes A.Men a staple for everyone's collection . Thanks T.M.;http://www.muglerusa.com/a-men-book-of-mysteries-gift-set/M020103018.html;SITE;REJECTED;PRI;TMGUS011174617;BV_FE_FAMILY:M020103018;M020103018;;;US4500;;US4500;;MUGLER;;;;;;JBS1;Ohio, USA;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;0;0;0;;;;;46-55;1-3 years;Male;;;;;BV_RATING_SUMMARY_ZERO_REVIEWS;en_US;c6.ugc.bazaarvoice.com;6275-en_us;
160157816;11/25/2016;11/26/2016;M020103022;A*Men Companion Set;Husband loves this!;My husband lives to receive A*Men. I've tried to get him to buy his own but he's happiest when he gets it from me.;http://www.muglerusa.com/a-men-companion-set/M020103022.html;HOSTED_AUTHENTICATION_EMAIL;APPROVED;;m7met0ebp22l86zsec85321cd;BV_FE_FAMILY:M020103022;M020103022;;;PrivateSalePR_May2016;;PrivateSalePR_May2016;;MUGLER;;;;;;Bunny63;Tampa, FL, USA;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;0;1;0;;;;;46-55;1-3 years;Female;;;;;BV_RATING_SUMMARY_ZERO_REVIEWS;en_US;c6.ugc.bazaarvoice.com;6275-en_us;
151659836;8/8/2016;8/9/2016;M020102004;A*Men Deodorant Stick;Great smelling deodorant!;"The thing I like about this product is that it doesn't make me break out in a rash, probably because it doesn't have aluminum.
Would buy again!";https://www.muglerusa.com/fragrance/mens-fragrances/a-men/a-men-deodorant-stick-M020102004.html;SITE;APPROVED;;TMGUS013563101;BV_FE_FAMILY:M020102004;M020102004;;A*Men;amen;Fragrance;fragrance;Fragrance > Men's Fragrances > A*Men;MUGLER;;;;Top 250;;Fretro;Nashville, TN, USA;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;1;0;0;;;;;46-55;1-3 years;Male;;;;;BV_PIE;en_US;c6.ugc.bazaarvoice.com;6275-en_us;
145030866;5/3/2016;5/5/2016;M020102004;A*Men Deodorant Stick;Discussing your deodorant;I have used several of your products many times and I have always enjoyed using them with complete confidence, but not so with the deodorant it is a bit pricey to not have a good aroma nor for it to work.....so I can review it honestly and say no, I can't use it nor am I able to recommend it to anyone else.;https://www.muglerusa.com/fragrance/mens-fragrances/a-men/a-men-deodorant-stick-M020102004.html;SITE;APPROVED;;TMGUS013800766;BV_FE_FAMILY:M020102004;M020102004;;A*Men;amen;Fragrance;fragrance;Fragrance > Men's Fragrances > A*Men;MUGLER;;;;;;Elaine10;North Carolina;0;Yes;No;2;No;;;;;;;0;0;0;0;0;0;1;0;0;;;;;66 or over;11-25 years;Female;;;;;BV_PIE;en_US;c6.ugc.bazaarvoice.com;6275-en_us;
105902075;12/14/2014;12/15/2014;M020102004;A*Men Deodorant Stick;"""Stick"" with Thierry Mugler!";I've always used this deodorant stick because it has the original A-Men scent eg. with patchouli, and incense I grew up with in the '60's. Keep it coming Thierry Mugler!;https://www.muglerusa.com/fragrance/mens-fragrances/a-men/a-men-deodorant-stick-M020102004.html;SITE;APPROVED;;374593;BV_FE_FAMILY:M020102004;M020102004;;A*Men;amen;Fragrance;fragrance;Fragrance > Men's Fragrances > A*Men;MUGLER;;;;Top 250;;Tommy;Las Vegas, NV, USA;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;3;0;0;;;;;66 or over;More than 25 years;Male;;;;;BV_PIE;en_US;c6.ugc.bazaarvoice.com;6275-en_us;
26710101;10/7/2013;10/8/2013;M020102004;A*Men Deodorant Stick;i love it;this is a great product and i get a lot of good compliments;https://www.muglerusa.com/fragrance/mens-fragrances/a-men/a-men-deodorant-stick-M020102004.html;SITE;APPROVED;;TMGUS00404299;BV_FE_FAMILY:M020102004;M020102004;;A*Men;amen;Fragrance;fragrance;Fragrance > Men's Fragrances > A*Men;MUGLER;;;;Top 250;;AE1986;Palm Springs, CA, USA;0;Yes;No;5;Yes;;;;;;;0;0;0;0;0;0;9;1;0;;;;;26-35;1-3 years;Male;;;;;BV_PIE;en_US;c6.ugc.bazaarvoice.com;6275-en_us;
26775237;10/8/2013;10/9/2013;M020103011;A*Men Distinctive Set;A*wesome!;My husband loves this fragrance, and so do I on him! He especially likes the hair and body shampoo, so I will buy more of that for him soon, since the size that came with the kit only lasts a few months. He uses the bag for traveling too.;http://www.muglerstoreusa.com/A*Men-Distinctive-Set/M020103011,en_US,pd.html;SITE;APPROVED;;TMGUS00411576;BV_FE_FAMILY:M020103011;M020103011;;;PrivateSale_Dec2013;;PrivateSale_Dec2013;;;;;;;;EllenLeigh;Redmond, WA, USA;0;No;No;5;Yes;;;;;;;0;0;0;0;0;0;1;0;0;;;;;36-45;4-10 years;Female;;;;;BV_PIE;en_US;c6.ugc.bazaarvoice.com;6275-en_us;
212474871;9/3/2019;9/3/2019;M020003080;A*Men Eau de Toilette Refill Bottle;Subtle Scent;Sometimes you are in need of subtlety as the loud world outside rages and rants.  This is it Gents!;https://www.muglerusa.com/fragrance/mens-fragrances/a-men/perfumes/a-men-eau-de-toilette-refill-bottle-M020003080.html;OTHER;APPROVED;;TMGUS014959621;BV_FE_FAMILY:M020003080;M020003080;;Perfumes;amen-perfumes;Fragrance;fragrance;Fragrance > Men's Fragrances > A*Men > Perfumes;MUGLER;;;;;;The Wall Street Poet;;0;Yes;Yes;5;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;;;Yes;;;BV_PIE;en_US;c6.ugc.bazaarvoice.com;6275-en_us;
211406440;7/22/2019;7/24/2019;M020101006;A*Men Eau de Toilette Refill Bottle;Easy shopping;Bought my refill on line saved me a lot of trouble going to maycs. will reorder next time great service;https://www.muglerusa.com/fragrance/mens-fragrances/a-men/perfumes/a-men-eau-de-toilette-refill-bottle-M020101006.html;OTHER;REJECTED;VAC CSN;TMGUS015582112;BV_FE_FAMILY:M020101006;M020101006;;Perfumes;amen-perfumes;Fragrance;fragrance;Fragrance > Men's Fragrances > A*Men > Perfumes;MUGLER;;;;;;DavidDkny;;0;Yes;Yes;5;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;;;Yes;;;BV_PIE;en_US;c6.ugc.bazaarvoice.com;6275-en_us;
208584004;4/20/2019;4/21/2019;M020003080;A*Men Eau de Toilette Refill Bottle;Hands down, the best!;A-MEN, is and has been ... Hands down, the best!!!;https://www.muglerusa.com/fragrance/mens-fragrances/a-men/perfumes/a-men-eau-de-toilette-refill-bottle-M020003080.html;OTHER;APPROVED;;TMGUS00408523;BV_FE_FAMILY:M020003080;M020003080;;Perfumes;amen-perfumes;Fragrance;fragrance;Fragrance > Men's Fragrances > A*Men > Perfumes;MUGLER;;;;;;The Zookeeper;;0;Yes;Yes;5;;;;;;;;0;0;0;0;0;0;0;0;0;;;;;;;;Yes;;;;BV_REVIEW_DISPLAY;en_US;c6.ugc.bazaarvoice.com;6275-en_us;
