dateBorn,dateSigned, Agent, BirthLocation, College, CreativeCommons, Cutout, Facebook, Gender, Height, Instagram, Kit, Nationality, Number, Outfitter, Player, Position, Render, Side, Signing, Sport, Team, TeamNational, Thumb, Twitter, Wage, Website, Weight, Youtube
1990-11-26,2014-09-01,Relatives,"Longsight, Manchester, England",,,https://www.thesportsdb.com/images/media/player/cutout/67w5a01557051308.png,www.facebook.com/dannywelbeck,Male,6 ft 1 in (1.85 m),www.instagram.com/DannyWelbeck,adidas X 19+,England,23,,Danny Welbeck,Forward,https://www.thesportsdb.com/images/media/player/render/7qml2m1559215903.png,Right,"20,00 Mill. €",Soccer,Arsenal,,https://www.thesportsdb.com/images/media/player/thumb/82uics1544986067.jpg,twitter.com/DannyWelbeck,"£6,500,000",,71.66,
1985-09-10,2010-07-07,S.C. Sports Management,"Tulle, France",,,https://www.thesportsdb.com/images/media/player/cutout/pykfjm1557050593.png,www.facebook.com/pages/Laurent-Koscielny-Officiel/170315866358525,Male,1.86 m (6 ft 1 in),instagram.com/laurent6koscielny,adidas Copa 19.1,France,6,,Laurent Koscielny,Centre Back,https://www.thesportsdb.com/images/media/player/render/xrj05u1557515857.png,Right,"£9,700,000",Soccer,Arsenal,,https://www.thesportsdb.com/images/media/player/thumb/z6xclr1510852878.jpg,twitter.com/6_lkoscielny,"£4,680,000 (£90,000 a week)",www.laurent-koscielny.com,73.47,
1986-02-26,2013-01-31,Bahía Internacional,"Pamplona, Spain",,,https://www.thesportsdb.com/images/media/player/cutout/6w8o931557051033.png,www.facebook.com/monrealofficial/,Male,1.78 m (5 ft 10 in),www.instagram.com/nacho_monreal,Puma Future 19.1 Netfit,Spain,18,,Nacho Monreal,Defender,https://www.thesportsdb.com/images/media/player/render/8klcjf1557515927.png,Left,"£8,500,000",Soccer,Arsenal,,https://www.thesportsdb.com/images/media/player/thumb/hx7vml1510853261.jpg,www.twitter.com/_nachomonreal,"£3,640,000 (£70,000 a week)",,71.2,
1995-03-19,2012-07-01,Goal Management,"Barcelona, Spain",,,https://www.thesportsdb.com/images/media/player/cutout/j4sdk01557510725.png,www.facebook.com/HectorBellerin,Male,1.78 m (5 ft 10 in),instagram.com/hectorbellerin,Puma ONE 19.1,Spain,2,,Hector Bellerin,Right Back,https://www.thesportsdb.com/images/media/player/render/79cy921557510702.png,Right,Youth,Soccer,Arsenal,,https://www.thesportsdb.com/images/media/player/thumb/agkw071510851996.jpg,twitter.com/hectorbellerin,"£5,720,000 (£110,000 a week)",,,
1988-10-15,2013-09-02,Family & Football,"Gelsenkirchen, West Germany",,,https://www.thesportsdb.com/images/media/player/cutout/n2jyfi1557051095.png,www.facebook.com/mesutoezil/,Male,1.83 m (6 ft 0 in),instagram.com/M10_OFFICIAL,adidas Predator 19+,Germany,10,,Mesut Ozil,Midfielder,https://www.thesportsdb.com/images/media/player/render/kkcd4i1557515393.png,Left,"£42,500,000",Soccer,Arsenal,,https://www.thesportsdb.com/images/media/player/thumb/g0xlkp1510859385.jpg,twitter.com/mesutozil1088,"£18,200,000 (£350,000 a week)",www.mesutoezil.com,69.84,
1996-05-03,2013-09-24,Elite Project Group Ltd,"Lagos, Nigeria",,,https://www.thesportsdb.com/images/media/player/cutout/0jxz631557050527.png,www.facebook.com/AlexIwobiOfficial,Male,1.80 m (5 ft 11 in),www.instagram.com/alexanderiwobi,Nike Phantom VNM,Nigeria,17,,Alex Iwobi,Midfielder,https://www.thesportsdb.com/images/media/player/render/7e9s5r1557514161.png,Right,Trainee,Soccer,Arsenal,,https://www.thesportsdb.com/images/media/player/thumb/xjwlvb1510852624.jpg,twitter.com/alexiwobi,"£2,600,000 (£50,000 a Week)",,75 kg,
1997-08-29,2014-07-01,,"Goodmayes, London, England",,,https://www.thesportsdb.com/images/media/player/cutout/ukdxln1557050916.png,,Male,5 ft 10 in (1.77 m),,Nike Phantom VNM,England,15,,Ainsley Maitland-Niles,Midfielder,https://www.thesportsdb.com/images/media/player/render/dey8ix1557515958.png,Right,Trainee,Soccer,Arsenal,,https://www.thesportsdb.com/images/media/player/thumb/3775d71510853007.jpg,,"£1,820,000 (£35,000 a week)",,,
1991-05-28,2009-07-01,score agencies,"Lyon, France",,,https://www.thesportsdb.com/images/media/player/cutout/m5kwl81557515888.png,fr-fr.facebook.com/AlexandreLacazetteOfficiel,Male,1.75 m (5 ft 9 in),,Nike Phantom VNM,France,9,,Alexandre Lacazette,Forward,https://www.thesportsdb.com/images/media/player/render/j0nnqy1557515869.png,Right,"45,000,000",Soccer,Arsenal,,https://www.thesportsdb.com/images/media/player/thumb/f0i81c1510852903.jpg,twitter.com/lacazettealex,"£9,467,273 (£182,063 a week)",,73,
1992-04-17,2014-08-28,Family & Football,"Bad Hersfeld, Germany",,,https://www.thesportsdb.com/images/media/player/cutout/bzpxug1557051072.png,www.facebook.com/ShkodranMustafi,Male,1.84 m (6 ft 0 in),www.instagram.com/shkodranmustafi,Nike Phantom VSN,Germany,20,,Shkodran Mustafi,Defender,https://www.thesportsdb.com/images/media/player/render/piqht91557515225.png,Right,35000000,Soccer,Arsenal,,https://www.thesportsdb.com/images/media/player/thumb/d9aatp1510859194.jpg,twitter.com/MustafiOfficial,"£4,680,000 (£90,000 a week)",www.shkodran-mustafi.com,71.66,
1988-06-09,,Konstantinos Farras,"Kalamata, Greece",,,https://www.thesportsdb.com/images/media/player/cutout/laley31557051136.png,www.facebook.com/SokratisPapastathopoulos/,Male,1.86 m (6 ft 1 in),www.instagram.com/sokratispapa.official,adidas X 17+ Purespeed,Greece,5,,Sokratis Papastathopoulos,Defender,https://www.thesportsdb.com/images/media/player/render/y3btbd1557515450.png,Right,"16,00 Mill. €",Soccer,Arsenal,,https://www.thesportsdb.com/images/media/player/thumb/tx5vqq1544985296.jpg,twitter.com/SokratisPapa5,"£4,784,000 (£92,000 a week)",,,
